CSF1R	"CSF1R"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ATXN3	"ATXN3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LBR	"LBR"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CLCN2	"CLCN2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
XRCC1	"XRCC1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSEN2	"PSEN2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MME	"MME"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CYP27A1	"CYP27A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GDAP2	"GDAP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ANXA11	"ANXA11"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MYH7	"MYH7"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
VCP	"VCP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RAX2	"RAX2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HSPB1	"HSPB1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NAGA	"NAGA"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DNM1L	"DNM1L"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CAV3	"CAV3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TMEM126B	"TMEM126B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PRNP	"PRNP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MFSD8	"MFSD8"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
VAPB	"VAPB"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SCN3B	"SCN3B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
EPCAM	"EPCAM"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CFH	"CFH"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GFAP	"GFAP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
POLG2	"POLG2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHCHD10	"CHCHD10"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHRNA2	"CHRNA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PRPH2	"PRPH2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SAMD9L	"SAMD9L"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PTEN	"PTEN"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LRP12	"LRP12"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ADD3	"ADD3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ZMPSTE24	"ZMPSTE24"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GGPS1	"GGPS1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CRYAB	"CRYAB"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
VMA21	"VMA21"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LAMP2	"LAMP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
KIF21A	"KIF21A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TUBB2B	"TUBB2B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TUBA1A	"TUBA1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PHOX2A	"PHOX2A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TUBB3	"TUBB3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
COL25A1	"COL25A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HBB	"HBB"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ACVRL1	"ACVRL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NOTCH3	"NOTCH3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC2A10	"SLC2A10"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SON	"SON"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GUCY1A1	"GUCY1A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SCN5A	"SCN5A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NPPA	"NPPA"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
BRCC3	"BRCC3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
COL4A1	"COL4A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMARCAL1	"SMARCAL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GNB2	"GNB2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MYH11	"MYH11"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TGFBR1	"TGFBR1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TGFBR2	"TGFBR2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LOX	"LOX"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMAD2	"SMAD2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TGFB3	"TGFB3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMAD3	"SMAD3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TGFB2	"TGFB2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMAD4	"SMAD4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FBN1	"FBN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ACTA2	"ACTA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
