~id,name:String,preferred_id:String,~label
GO:0097449,Astrocyte Projection,cellular component_id,CellularComponent
GO:0032279,Asymmetric Synapse,cellular component_id,CellularComponent
GO:0098985,"Asymmetric, Glutamatergic, Excitatory Synapse",cellular component_id,CellularComponent
GO:0044754,Autolysosome,cellular component_id,CellularComponent
GO:0005776,Autophagosome,cellular component_id,CellularComponent
GO:0000421,Autophagosome Membrane,cellular component_id,CellularComponent
GO:0030424,Axon,cellular component_id,CellularComponent
GO:0044295,Axonal Growth Cone,cellular component_id,CellularComponent
GO:0042582,Azurophil Granule,cellular component_id,CellularComponent
GO:0035578,Azurophil Granule Lumen,cellular component_id,CellularComponent
GO:0035577,Azurophil Granule Membrane,cellular component_id,CellularComponent
GO:0140092,bBAF Complex,cellular component_id,CellularComponent
GO:0005604,Basement Membrane,cellular component_id,CellularComponent
GO:0016323,Basolateral Plasma Membrane,cellular component_id,CellularComponent
GO:1990907,beta-catenin-TCF Complex,cellular component_id,CellularComponent
GO:0005923,Bicellular Tight Junction,cellular component_id,CellularComponent
GO:0098588,Bounding Membrane Of Organelle,cellular component_id,CellularComponent
GO:0031428,Box C/D RNP Complex,cellular component_id,CellularComponent
GO:0035060,Brahma Complex,cellular component_id,CellularComponent
GO:0031526,Brush Border Membrane,cellular component_id,CellularComponent
GO:0034704,Calcium Channel Complex,cellular component_id,CellularComponent
GO:0016342,Catenin Complex,cellular component_id,CellularComponent
GO:0034703,Cation Channel Complex,cellular component_id,CellularComponent
GO:0090533,Cation-Transporting ATPase Complex,cellular component_id,CellularComponent
GO:0005901,Caveola,cellular component_id,CellularComponent
GO:0031253,Cell Projection Membrane,cellular component_id,CellularComponent
GO:0044291,Cell-Cell Contact Zone,cellular component_id,CellularComponent
GO:0005911,Cell-Cell Junction,cellular component_id,CellularComponent
GO:0030055,Cell-Substrate Junction,cellular component_id,CellularComponent
GO:0045009,Chitosome,cellular component_id,CellularComponent
GO:0034707,Chloride Channel Complex,cellular component_id,CellularComponent
GO:0033391,Chromatoid Body,cellular component_id,CellularComponent
GO:0010369,Chromocenter,cellular component_id,CellularComponent
GO:0005694,Chromosome,cellular component_id,CellularComponent
GO:0042627,Chylomicron,cellular component_id,CellularComponent
GO:0060170,Ciliary Membrane,cellular component_id,CellularComponent
GO:0005929,Cilium,cellular component_id,CellularComponent
GO:0005801,cis-Golgi Network,cellular component_id,CellularComponent
GO:0033106,cis-Golgi Network Membrane,cellular component_id,CellularComponent
GO:0030131,Clathrin Adaptor Complex,cellular component_id,CellularComponent
GO:0030118,Clathrin Coat,cellular component_id,CellularComponent
GO:0030132,Clathrin Coat Of Coated Pit,cellular component_id,CellularComponent
GO:0030128,Clathrin Coat Of Endocytic Vesicle,cellular component_id,CellularComponent
GO:0030130,Clathrin Coat Of trans-Golgi Network Vesicle,cellular component_id,CellularComponent
GO:0030125,Clathrin Vesicle Coat,cellular component_id,CellularComponent
GO:0045334,Clathrin-Coated Endocytic Vesicle,cellular component_id,CellularComponent
GO:0030669,Clathrin-Coated Endocytic Vesicle Membrane,cellular component_id,CellularComponent
GO:0030136,Clathrin-Coated Vesicle,cellular component_id,CellularComponent
GO:0030665,Clathrin-Coated Vesicle Membrane,cellular component_id,CellularComponent
GO:0061200,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle,cellular component_id,CellularComponent
GO:0061202,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane,cellular component_id,CellularComponent
GO:0030135,Coated Vesicle,cellular component_id,CellularComponent
GO:0030662,Coated Vesicle Membrane,cellular component_id,CellularComponent
GO:0062023,Collagen-Containing Extracellular Matrix,cellular component_id,CellularComponent
GO:0000793,Condensed Chromosome,cellular component_id,CellularComponent
GO:0000779,"Condensed Chromosome, Centromeric Region",cellular component_id,CellularComponent
GO:0000794,Condensed Nuclear Chromosome,cellular component_id,CellularComponent
GO:0005922,Connexin Complex,cellular component_id,CellularComponent
GO:0070847,Core Mediator Complex,cellular component_id,CellularComponent
GO:0001533,Cornified Envelope,cellular component_id,CellularComponent
GO:0030864,Cortical Actin Cytoskeleton,cellular component_id,CellularComponent
GO:0030863,Cortical Cytoskeleton,cellular component_id,CellularComponent
GO:0032541,Cortical Endoplasmic Reticulum,cellular component_id,CellularComponent
GO:0060473,Cortical Granule,cellular component_id,CellularComponent
GO:0031461,cullin-RING Ubiquitin Ligase Complex,cellular component_id,CellularComponent
GO:0000307,Cyclin-Dependent Protein Kinase Holoenzyme Complex,cellular component_id,CellularComponent
GO:0008024,cyclin/CDK Positive Transcription Elongation Factor Complex,cellular component_id,CellularComponent
GO:0044194,Cytolytic Granule,cellular component_id,CellularComponent
GO:0005868,Cytoplasmic Dynein Complex,cellular component_id,CellularComponent
GO:0098554,Cytoplasmic Side Of Endoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0010009,Cytoplasmic Side Of Endosome Membrane,cellular component_id,CellularComponent
GO:0098574,Cytoplasmic Side Of Lysosomal Membrane,cellular component_id,CellularComponent
GO:0009898,Cytoplasmic Side Of Plasma Membrane,cellular component_id,CellularComponent
GO:0010494,Cytoplasmic Stress Granule,cellular component_id,CellularComponent
GO:0060205,Cytoplasmic Vesicle Lumen,cellular component_id,CellularComponent
GO:0030659,Cytoplasmic Vesicle Membrane,cellular component_id,CellularComponent
GO:0005856,Cytoskeleton,cellular component_id,CellularComponent
GO:0048788,Cytoskeleton Of Presynaptic Active Zone,cellular component_id,CellularComponent
